order_id,customer_id,timestamp,order_amount,product_category,payment_method,customer_age_days,previous_orders,previous_returns,customer_return_rate,orders_last_7_days,orders_last_30_days,returns_last_7_days,returns_last_30_days,average_order_value,discount_percentage,delivery_days,return_days_after_delivery,address_change_count,payment_failures,previous_chargebacks,is_first_order,is_high_value_order,is_abusive_return
ORD_767681_77476,CUST_018614,2025-01-01 00:04:50,29.71,Clothing,UPI,971,0,0,0.0,0,0,0,0,0.0,25.7,3,9,0,0,0,1,0,0
ORD_457763_88570,CUST_021215,2025-01-01 00:08:24,59.14,Beauty,UPI,570,0,0,0.0,0,0,0,0,0.0,24.3,4,10,0,0,0,1,0,0
ORD_887866_5708,CUST_001359,2025-01-01 00:08:49,171.7,Clothing,UPI,457,0,0,0.0,0,0,0,0,0.0,12.3,1,0,0,0,0,1,1,0
ORD_268406_67369,CUST_016220,2025-01-01 00:09:01,72.89,Clothing,Credit Card,945,0,0,0.0,0,0,0,0,0.0,23.7,4,8,0,0,0,1,0,0
ORD_648089_94698,CUST_022705,2025-01-01 00:11:45,66.41,Electronics,UPI,214,0,0,0.0,0,0,0,0,0.0,16.4,6,15,0,0,0,1,0,0
ORD_544035_90511,CUST_021709,2025-01-01 00:23:42,48.03,Electronics,Debit Card,600,0,0,0.0,0,0,0,0,0.0,25.3,8,3,0,0,0,1,0,0
ORD_824917_74242,CUST_017850,2025-01-01 00:36:41,126.17,Home,UPI,980,0,0,0.0,0,0,0,0,0.0,33.3,5,0,0,0,0,1,0,0
ORD_731573_27345,CUST_006571,2025-01-01 00:41:07,27.64,Home,Credit Card,984,0,0,0.0,0,0,0,0,0.0,17.3,2,6,0,0,0,1,0,1
ORD_986387_45796,CUST_011080,2025-01-01 00:51:53,36.97,Home,Debit Card,755,0,0,0.0,0,0,0,0,0.0,12.4,3,14,0,0,0,1,0,0
ORD_816310_27787,CUST_006668,2025-01-01 00:57:55,67.12,Home,COD,257,0,0,0.0,0,0,0,0,0.0,56.4,4,15,0,0,0,1,0,0
ORD_373836_83873,CUST_020127,2025-01-01 01:02:03,366.95,Clothing,Credit Card,951,0,0,0.0,0,0,0,0,0.0,52.2,1,12,0,0,0,1,1,0
ORD_472400_47156,CUST_011387,2025-01-01 01:08:00,22.86,Clothing,Credit Card,726,0,0,0.0,0,0,0,0,0.0,3.6,3,14,0,0,0,1,0,0
ORD_859084_98004,CUST_023524,2025-01-01 01:11:42,305.95,Beauty,Credit Card,907,0,0,0.0,0,0,0,0,0.0,27.2,3,14,0,0,0,1,1,0
ORD_572689_26866,CUST_006459,2025-01-01 01:18:04,32.46,Books,Debit Card,911,0,0,0.0,0,0,0,0,0.0,10.2,2,7,0,0,0,1,0,0
ORD_469247_78406,CUST_018836,2025-01-01 01:22:37,18.95,Electronics,Credit Card,332,0,0,0.0,0,0,0,0,0.0,38.7,5,3,0,0,0,1,0,1
ORD_327522_26291,CUST_006310,2025-01-01 01:23:17,124.88,Clothing,Credit Card,323,0,0,0.0,0,0,0,0,0.0,7.0,5,0,0,0,0,1,0,0
ORD_527468_68983,CUST_016619,2025-01-01 01:35:34,192.88,Clothing,Credit Card,684,0,0,0.0,0,0,0,0,0.0,29.9,4,8,0,0,0,1,1,0
ORD_978128_17959,CUST_004289,2025-01-01 01:44:44,81.09,Books,Credit Card,282,0,0,0.0,0,0,0,0,0.0,6.3,6,0,0,0,0,1,0,0
ORD_792805_95637,CUST_022928,2025-01-01 01:48:49,40.5,Clothing,UPI,527,0,0,0.0,0,0,0,0,0.0,4.3,3,2,0,0,0,1,0,0
ORD_754862_95540,CUST_022905,2025-01-01 01:53:28,29.84,Electronics,Debit Card,338,0,0,0.0,0,0,0,0,0.0,36.2,3,16,0,0,0,1,0,0
ORD_682239_103668,CUST_024902,2025-01-01 01:57:37,39.7,Beauty,Credit Card,124,0,0,0.0,0,0,0,0,0.0,61.1,3,9,0,0,0,1,0,0
ORD_419899_33069,CUST_007950,2025-01-01 01:59:04,188.02,Beauty,Debit Card,240,0,0,0.0,0,0,0,0,0.0,54.7,6,17,0,0,0,1,1,0
ORD_560299_97701,CUST_023440,2025-01-01 01:59:12,80.19,Electronics,Debit Card,296,0,0,0.0,0,0,0,0,0.0,9.0,5,16,0,0,0,1,0,1
ORD_631334_27194,CUST_006534,2025-01-01 02:10:36,37.23,Electronics,Credit Card,568,0,0,0.0,0,0,0,0,0.0,38.4,5,15,0,0,0,1,0,0
ORD_721596_43006,CUST_010376,2025-01-01 02:12:19,54.68,Beauty,Credit Card,231,0,0,0.0,0,0,0,0,0.0,9.7,1,9,0,0,0,1,0,0
ORD_229554_55564,CUST_013447,2025-01-01 02:13:39,65.68,Home,UPI,945,0,0,0.0,0,0,0,0,0.0,36.1,4,6,0,0,0,1,0,0
ORD_614049_22335,CUST_005358,2025-01-01 02:30:01,60.64,Electronics,UPI,732,0,0,0.0,0,0,0,0,0.0,13.5,5,4,0,0,0,1,0,1
ORD_424018_102499,CUST_024618,2025-01-01 02:30:17,21.41,Home,Credit Card,999,0,0,0.0,0,0,0,0,0.0,12.6,7,2,0,0,0,1,0,0
ORD_198586_41246,CUST_009966,2025-01-01 02:34:58,432.1,Clothing,Debit Card,61,0,0,0.0,0,0,0,0,0.0,7.9,4,6,0,0,0,1,1,0
ORD_248387_93183,CUST_022351,2025-01-01 02:39:31,21.09,Books,UPI,225,0,0,0.0,0,0,0,0,0.0,10.0,3,14,0,0,0,1,0,0
ORD_996857_1153,CUST_000274,2025-01-01 02:46:18,27.98,Clothing,Debit Card,416,0,0,0.0,0,0,0,0,0.0,10.5,3,4,0,0,0,1,0,0
ORD_260862_86613,CUST_020777,2025-01-01 02:47:09,87.22,Home,UPI,70,0,0,0.0,0,0,0,0,0.0,11.3,4,0,0,0,0,1,0,0
ORD_129650_26993,CUST_006484,2025-01-01 02:48:07,93.93,Beauty,Credit Card,436,0,0,0.0,0,0,0,0,0.0,35.9,4,5,0,0,0,1,0,1
ORD_172137_73954,CUST_017770,2025-01-01 02:59:02,32.42,Clothing,Debit Card,438,0,0,0.0,0,0,0,0,0.0,19.1,1,0,0,0,0,1,0,0
ORD_585519_20699,CUST_004982,2025-01-01 03:03:33,68.51,Electronics,Credit Card,97,0,0,0.0,0,0,0,0,0.0,29.8,5,12,0,0,0,1,0,0
ORD_434653_98890,CUST_023738,2025-01-01 03:04:15,95.96,Books,UPI,216,0,0,0.0,0,0,0,0,0.0,8.8,1,8,0,0,0,1,0,1
ORD_154376_57039,CUST_013790,2025-01-01 03:06:14,207.09,Books,COD,301,0,0,0.0,0,0,0,0,0.0,4.8,3,0,0,0,0,1,1,0
